ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
8014e5,IGO2113 ,77.3124,28.4748,2118.36,106.24
a6f28c,GJS4458 ,-85.8235,40.6853,6827.52,212.27
a39179,N329TS  ,-102.1242,34.7102,7315.2,130.41
a27191,CXK278  ,-74.8231,40.2593,335.28,50.33
8014e8,IGO898  ,77.2837,28.5661,975.36,86.46
3de8e3,CHX81   ,12.1458,50.9753,998.22,72.8
a9526e,N70CG   ,-122.3567,44.368,9022.08,120.87
8014e6,AKJ1120 ,75.7663,27.4998,9837.42,219.42
e492b0,AZU4342 ,-57.9273,-14.1064,10340.34,257.18
758321,APG625  ,122.6809,13.1556,8755.38,242.07
4520e6,MAC123  ,-4.8057,39.0778,9768.84,229.65
8014dd,VTI708  ,85.5836,24.0545,10043.16,251.92
3c5eef,EWG4SF  ,6.7622,51.2804,,0.0
a9a251,N72ML   ,-105.1057,39.9033,22067.52,29.97
8014df,IGO6626 ,77.545,11.9459,8976.36,236.74
a3a4a5,N33395  ,-122.9049,48.0515,457.2,42.26
4520cf,LZB571  ,25.0032,41.2305,8953.5,238.82
471f8e,WMT35BP ,3.8598,39.7026,5288.28,168.79
3c65da,DLH7KF  ,0.3318,51.6261,3299.46,129.99
392060,FGIDA   ,0.0569,49.5097,335.28,44.14
4520ce,CFG9HL  ,-12.916,29.7691,8976.36,236.55
ac710e,N900VG  ,-90.6481,29.2962,11887.2,238.69
a3b7cb,FFT2114 ,-101.9716,40.3173,11285.22,245.84
758335,PAL110  ,124.0978,13.796,10058.4,234.7
344481,IBE31DD ,7.8733,47.6201,10378.44,275.94
a3ed1c,DZR352  ,-106.9164,31.9467,13716.0,232.71
a82b8e,N62527  ,-88.2377,44.5269,777.24,66.76
ac34e8,N886JA  ,-88.2952,44.4506,1143.0,49.48
